ctr,cpc,link,campaign,id,media_type,start_month,gender,messenger,ret_pro
0.66349271,2.35137405,True,0,6210810826542,1,9,0,True,1
0.52194661,2.71738095,True,0,6210810826742,1,9,0,True,1
0.50431105,2.62276498,True,0,6210810826942,0,9,0,True,1
0.0,0.0,True,0,6204957213742,1,9,2,True,0
0.72680078,1.14517857,True,0,6204957213942,0,9,2,True,0
0.82135524,0.99,True,0,6204957214542,1,9,2,True,0
0.87032202,0.622,True,0,6204957214742,1,9,2,True,0
0.63423413,1.04604119,True,0,6204957214942,0,9,2,True,0
1.07276119,1.00130435,True,0,6204957215142,0,9,2,True,0
0.82538518,3.20066667,True,0,6204957215342,1,9,0,True,1
1.40136543,1.7074359000000001,True,0,6204957215542,1,9,0,True,1
0.79283006,3.22869565,True,0,6204957215742,0,9,0,True,1
0.90153653,2.78391304,True,0,6204957215942,0,9,0,True,1
1.2731981,2.16508475,True,0,6204957216142,0,9,0,True,1
1.1443433,2.93,True,0,6204957216342,1,9,0,True,1
0.17421603,18.08,True,0,6204957216542,1,9,0,True,1
0.90173695,3.15088342,True,0,6204957216742,0,9,0,True,1
1.3663273,1.07417166,True,0,6204957216942,0,9,-1,True,1
1.24670869,1.625328,True,0,6204957217142,0,9,-1,True,1
1.15954477,1.72530864,True,0,6204957217342,0,9,0,True,1
1.21016643,1.85522388,True,0,6204957217542,0,9,-1,True,1
1.48817504,1.68663063,True,0,6204957217742,1,9,-1,True,1
1.43431037,1.05983402,True,0,6204957217942,0,9,-1,True,1
1.55848809,1.41199234,True,0,6204957218142,1,9,-1,True,1
1.29217407,1.46715629,True,0,6204957218342,1,9,-1,True,1
1.13399676,2.07530612,True,0,6204957218542,1,9,0,True,1
0.75972186,1.9479661,True,0,6204957218742,0,9,0,True,1
0.99488229,1.8450823,True,0,6204957218942,0,9,0,True,1
1.28131971,1.2942915000000002,True,0,6204957219142,0,9,0,True,1
0.91824783,1.82313776,True,0,6204957219342,1,9,-1,True,1
1.39793349,2.04285714,True,0,6204957219542,1,9,0,True,1
0.85629188,2.5373912999999995,True,0,6204957219742,1,9,0,True,1
1.07741485,2.48635919,True,0,6204957219942,0,9,0,True,1
0.83308539,2.40571429,True,0,6204957220142,0,9,0,True,1
0.9627783000000001,1.62955357,True,0,6204957220342,1,9,0,True,1
1.18071819,2.17644628,True,0,6204957220542,0,9,0,True,1
0.83594912,2.08379447,True,0,6204957220742,1,9,0,True,1
1.0270598,1.93826568,True,0,6204957220942,1,9,0,True,1
0.99609581,1.45440678,True,0,6204957221142,1,9,0,True,1
1.25876313,1.44809524,True,0,6204957221342,0,9,0,True,1
1.25448443,2.02715867,True,0,6204957221542,1,9,0,True,1
0.94102886,1.49466667,True,0,6204957228142,0,9,2,True,0
1.24858116,1.20545455,True,0,6204957228342,1,9,2,True,0
0.81080301,1.53088968,True,0,6204957228742,0,9,2,True,0
0.92866188,1.35772727,True,0,6204957229142,1,9,2,True,0
1.23334978,1.4324,True,0,6204957229342,1,9,2,True,0
0.84195113,1.87173913,True,0,6204957229542,0,9,2,True,0
0.85440875,2.0652,True,0,6206291802742,0,10,0,True,1
1.2972973,1.3525,True,0,6206295790742,1,10,0,True,1
0.77591558,2.1168,True,0,6206300720942,0,10,0,True,1
0.51299853,1.56766917,True,0,6204536118142,0,9,2,True,0
0.82754055,1.2312,True,0,6204536118342,0,9,2,True,0
0.87900724,1.34941176,True,0,6204536118742,1,9,2,True,0
0.61844285,1.81875,True,0,6204536119142,0,9,2,True,0
1.12517581,0.895,True,0,6204536119342,1,9,2,True,0
0.73459716,1.17387097,True,0,6204536119542,1,9,2,True,0
